raw_row_number,date,time,location,lat,lng,district,precinct,type,disposition,arrest_made,citation_issued,warning_issued,outcome
363,2012-11-01,23:54:51,4797 S WADSWORTH BLVD,39.631343,-105.081671,4,423,pedestrian,Party Advised,FALSE,FALSE,FALSE,NA
452,2012-11-09,04:55:33,8500 W CRESTLINE AVE,39.618329,-105.092691,4,423,pedestrian,Party Advised,FALSE,FALSE,FALSE,NA
528,2012-11-01,07:09:48,W UNION AVE / S BALSAM WAY,39.631373,-105.089859,4,423,vehicular,Warning Issued,FALSE,FALSE,TRUE,warning
546,2012-11-01,22:42:24,W CRESTLINE AVE / S WADSWORTH BLVD,39.618337,-105.091244,4,423,vehicular,L - Clearance,FALSE,FALSE,FALSE,NA
572,2012-11-01,07:15:58,W UNION AVE / S BALSAM WAY,39.631373,-105.089859,4,423,vehicular,Warning Issued,FALSE,FALSE,TRUE,warning
586,2012-11-01,07:32:08,W LAYTON AVE / S BALSAM WAY,39.631373,-105.089859,4,423,vehicular,T - Citation Issued,FALSE,TRUE,FALSE,citation
663,2012-11-06,23:24:58,4700-BLK S GARRISON ST,39.631816,-105.102705,4,423,vehicular,Arrest Made,TRUE,FALSE,FALSE,arrest
729,2012-11-15,21:50:38,7700-BLK W GRANT RANCH BLVD,39.618575,-105.082643,None,None,vehicular,Party Advised,FALSE,FALSE,FALSE,NA
778,2012-11-21,19:35:46,4885 S QUEBEC ST,39.626174,-104.904062,3,324,pedestrian,In Service,FALSE,FALSE,FALSE,NA
785,2012-11-16,20:06:08,S BALSAM WAY / S DUDLEY ST,39.627089,-105.09396,4,423,vehicular,Party Advised,FALSE,FALSE,FALSE,NA
788,2012-11-03,00:36:26,S BALSAM WAY / S DUDLEY ST,39.627089,-105.09396,4,423,pedestrian,Arrest Made,TRUE,FALSE,FALSE,arrest
887,2012-11-06,22:25:33,8000 W CRESTLINE AVE,39.618915,-105.086203,None,None,vehicular,Party Advised,FALSE,FALSE,FALSE,NA
890,2012-11-28,00:15:36,8000 W CRESTLINE AVE,39.618915,-105.086203,None,None,vehicular,Party Advised,FALSE,FALSE,FALSE,NA
897,2012-11-21,05:18:19,8000 W CRESTLINE AVE,39.618915,-105.086203,None,None,vehicular,Party Advised,FALSE,FALSE,FALSE,NA
898,2012-11-02,23:35:32,8000 W CRESTLINE AVE,39.618915,-105.086203,None,None,pedestrian,L - Clearance,FALSE,FALSE,FALSE,NA
906,2012-11-29,00:08:22,S WADSWORTH BLVD / W CROSS DR,39.614421,-105.091152,4,423,vehicular,Warning Issued,FALSE,FALSE,TRUE,warning
931,2012-11-27,23:22:41,8601 W CROSS DR,39.614514,-105.094145,4,423,vehicular,T - Citation Issued,FALSE,TRUE,FALSE,citation
946,2012-11-05,13:50:04,4800-BLK S QUEBEC ST,39.626728,-104.904071,3,324,vehicular,File Only,FALSE,FALSE,FALSE,NA
959,2012-11-02,12:34:04,4800 S GARLAND ST,39.627835,-105.102396,4,423,pedestrian,K - Street Check Completed,FALSE,FALSE,FALSE,NA
987,2012-11-06,23:59:14,I25 SB / I225 SB,39.631291,-104.906021,3,324,vehicular,T - Citation Issued,FALSE,TRUE,FALSE,citation
988,2012-11-09,07:29:44,I25 SB / I225 SB,39.631291,-104.906021,3,324,vehicular,Warning Issued,FALSE,FALSE,TRUE,warning
1020,2012-11-20,00:01:40,8601 W CROSS DR,39.614514,-105.094145,4,423,vehicular,Party Advised,FALSE,FALSE,FALSE,NA
1021,2012-11-21,20:39:07,8000 W CRESTLINE AVE,39.618915,-105.086203,None,None,vehicular,Party Advised,FALSE,FALSE,FALSE,NA
1061,2012-11-19,00:07:22,S HOLLAND ST / W SARATOGA PL,39.628321,-105.10396,4,423,vehicular,Party Advised,FALSE,FALSE,FALSE,NA
1064,2012-11-15,01:23:03,8601 W CROSS DR,39.614514,-105.094145,4,423,vehicular,O - Veh Released to Owner,FALSE,FALSE,FALSE,NA
1176,2012-11-28,07:42:30,W SUMAC AVE / S INGALLS ST,39.615018,-105.064623,4,423,vehicular,Warning Issued,FALSE,FALSE,TRUE,warning
1204,2012-11-08,00:46:59,S HOLLAND CT / W SARATOGA PL,39.628747,-105.10466,4,423,pedestrian,Party Advised,FALSE,FALSE,FALSE,NA
1319,2012-11-30,08:01:45,W GRANT RANCH BLVD / W SUMAC AVE,39.615314,-105.064137,4,423,vehicular,In Service,FALSE,FALSE,FALSE,NA
1332,2012-11-30,07:11:19,W GRANT RANCH BLVD / W SUMAC AVE,39.615314,-105.064137,4,423,vehicular,Warning Issued,FALSE,FALSE,TRUE,warning
1364,2012-11-08,00:09:39,4601 S BALSAM WAY,39.632898,-105.090025,4,423,pedestrian,Party Advised,FALSE,FALSE,FALSE,NA
1372,2012-11-20,23:07:43,W TUFTS AVE / S INDEPENDENCE ST,39.632952,-105.105375,4,423,vehicular,Arrest Made,TRUE,FALSE,FALSE,arrest
1488,2012-11-30,07:21:55,S JAY CIR / W ALAMO DR,39.615671,-105.060505,4,423,vehicular,Warning Issued,FALSE,FALSE,TRUE,warning
1526,2012-11-06,04:37:58,7977 W TUFTS AVE,39.632922,-105.088008,4,423,pedestrian,L - Clearance,FALSE,FALSE,FALSE,NA
1634,2012-11-27,10:43:23,W DORADO DR / W GRANT RANCH BLVD,39.616788,-105.071633,4,423,vehicular,Warning Issued,FALSE,FALSE,TRUE,warning
1658,2012-11-27,10:32:15,W GRANT RANCH BLVD / W DORADO DR,39.616788,-105.071633,4,423,vehicular,Warning Issued,FALSE,FALSE,TRUE,warning
1695,2012-11-05,22:28:33,4550 S KIPLING ST,39.633637,-105.109899,4,423,pedestrian,Party Advised,FALSE,FALSE,FALSE,NA
1725,2012-11-04,22:21:31,W BELLEVIEW AVE / S DUDLEY ST,39.624196,-105.094461,None,None,vehicular,K - Street Check Completed,FALSE,FALSE,FALSE,NA
1734,2012-11-06,23:49:22,8555 W BELLEVIEW AVE,39.624198,-105.093286,None,None,pedestrian,Party Advised,FALSE,FALSE,FALSE,NA
1754,2012-11-15,22:30:49,4550 S KIPLING ST,39.633637,-105.109899,4,423,pedestrian,Party Advised,FALSE,FALSE,FALSE,NA
1762,2012-11-19,22:04:55,4550 S KIPLING ST,39.633637,-105.109899,4,423,vehicular,L - Clearance,FALSE,FALSE,FALSE,NA
1793,2012-11-12,09:02:59,S WADSWORTH WAY / W BELLEVIEW AVE,39.624199,-105.091256,None,None,vehicular,Party Advised,FALSE,FALSE,FALSE,NA
1797,2012-11-06,08:49:42,S WADSWORTH WAY / W BELLEVIEW AVE,39.624199,-105.091256,None,None,pedestrian,Party Advised,FALSE,FALSE,FALSE,NA
1859,2012-11-01,23:38:11,W LAYTON AVE / S WADSWORTH WAY,39.629932,-105.087154,4,423,vehicular,L - Clearance,FALSE,FALSE,FALSE,NA
1924,2012-11-02,09:54:50,W STETSON PL / S DUDLEY ST,39.633688,-105.095435,4,423,vehicular,T - Citation Issued,FALSE,TRUE,FALSE,citation
2148,2012-11-29,00:09:06,4801 S WADSWORTH BLVD,39.630128,-105.081693,4,423,pedestrian,Party Advised,FALSE,FALSE,FALSE,NA
2210,2012-11-30,00:02:18,W BELLEWOOD PL / S GARLAND ST,39.625214,-105.102778,4,423,vehicular,In Service,FALSE,FALSE,FALSE,NA
2235,2012-11-16,23:41:03,S KIPLING ST / W STANFORD AVE,39.634264,-105.109902,4,423,vehicular,Warning Issued,FALSE,FALSE,TRUE,warning
2243,2012-11-07,22:22:05,S KIPLING ST / W STANFORD AVE,39.634264,-105.109902,4,423,vehicular,Party Advised,FALSE,FALSE,FALSE,NA
2253,2012-11-29,01:06:26,W STANFORD AVE / S KIPLING ST,39.634264,-105.109902,4,423,pedestrian,Party Advised,FALSE,FALSE,FALSE,NA
2257,2012-11-27,22:49:05,W STANFORD AVE / S KIPLING ST,39.634264,-105.109902,4,423,vehicular,L - Clearance,FALSE,FALSE,FALSE,NA
2262,2012-11-14,00:44:14,W STANFORD AVE / S KIPLING ST,39.634264,-105.109902,4,423,pedestrian,L - Clearance,FALSE,FALSE,FALSE,NA
2325,2012-11-28,08:05:19,W GRANT RANCH BLVD / S JAY CIR,39.616826,-105.065797,4,423,vehicular,T - Citation Issued,FALSE,TRUE,FALSE,citation
2366,2012-11-05,01:49:45,S Irving St / W Dill Rd,39.635344,-105.030025,None,None,pedestrian,File Only,FALSE,FALSE,FALSE,NA
2421,2012-11-28,18:19:09,W CRESTLINE AVE / S DOVER ST,39.618235,-105.094082,4,423,vehicular,Warning Issued,FALSE,FALSE,TRUE,warning
2474,2012-11-14,22:44:01,7700 W QUINCY AVE,39.638746,-105.082258,None,None,pedestrian,UTL / Unfounded / Unsuccessful,FALSE,FALSE,FALSE,NA
2477,2012-11-05,23:09:38,7700 W QUINCY AVE,39.638746,-105.082258,None,None,pedestrian,Party Advised,FALSE,FALSE,FALSE,NA
2479,2012-11-07,04:52:52,7700 W QUINCY AVE,39.638746,-105.082258,None,None,pedestrian,Party Advised,FALSE,FALSE,FALSE,NA
2484,2012-11-09,21:52:20,7700 W QUINCY AVE,39.638746,-105.082258,None,None,vehicular,L - Clearance,FALSE,FALSE,FALSE,NA
2617,2012-11-07,01:19:36,6350 W MANSFIELD AVE,39.644232,-105.06569,4,423,pedestrian,K - Street Check Completed,FALSE,FALSE,FALSE,NA
2626,2012-11-12,12:44:11,4000 S Ivy Ln,39.643852,-104.920906,None,None,vehicular,K - Street Check Completed,FALSE,FALSE,FALSE,NA
2629,2012-11-02,01:03:05,6300 W MANSFIELD AVE,39.644568,-105.064902,4,423,pedestrian,In Service,FALSE,FALSE,FALSE,NA
2630,2012-11-06,02:57:56,6200 W MANSFIELD AVE,39.644692,-105.063858,4,423,pedestrian,In Service,FALSE,FALSE,FALSE,NA
2739,2012-11-05,23:47:39,W LAYTON AVE / S WADSWORTH BLVD,39.63015,-105.081693,4,423,vehicular,L - Clearance,FALSE,FALSE,FALSE,NA
2900,2012-11-09,00:46:50,4490 S KIPLING ST,39.634297,-105.109902,4,423,pedestrian,Party Advised,FALSE,FALSE,FALSE,NA
3003,2012-11-29,22:37:06,6100 W QUINCY AVE,39.638739,-105.063575,4,423,vehicular,Warning Issued,FALSE,FALSE,TRUE,warning
3014,2012-11-12,04:45:08,5800-blk W QUINCY AVE,39.638766,-105.059847,4,423,vehicular,T - Citation Issued,FALSE,TRUE,FALSE,citation
3043,2012-11-01,23:01:49,8500 W CRESTLINE AVE,39.618329,-105.092691,4,423,pedestrian,Party Advised,FALSE,FALSE,FALSE,NA
3044,2012-11-15,22:04:03,8500 W CRESTLINE AVE,39.618329,-105.092691,4,423,pedestrian,In Service,FALSE,FALSE,FALSE,NA
3051,2012-11-27,00:03:53,8500 W CRESTLINE AVE,39.618329,-105.092691,4,423,vehicular,L - Clearance,FALSE,FALSE,FALSE,NA
3063,2012-11-30,01:15:29,8500 W CRESTLINE AVE,39.618329,-105.092691,4,423,pedestrian,Party Advised,FALSE,FALSE,FALSE,NA
3113,2012-11-08,23:25:22,W QUINCY AVE / S Wadsworth Blvd,39.63876,-105.081676,None,None,vehicular,K - Street Check Completed,FALSE,FALSE,FALSE,NA
3117,2012-11-02,11:50:13,W QUINCY AVE / S WADSWORTH BLVD,39.63876,-105.081676,None,None,pedestrian,K - Street Check Completed,FALSE,FALSE,FALSE,NA
3554,2012-11-12,23:06:13,I25 NB / I225 NB,39.634099,-104.905769,3,324,vehicular,T - Citation Issued,FALSE,TRUE,FALSE,citation
3576,2012-11-07,00:11:05,W TUFTS AVE / S WOLFF ST,39.634777,-105.04964,4,423,vehicular,Arrest Made,TRUE,FALSE,FALSE,arrest
3595,2012-11-04,21:39:39,S WADSWORTH BLVD / W STANFORD AVE,39.635118,-105.081795,4,423,vehicular,Warning Issued,FALSE,FALSE,TRUE,warning
3610,2012-11-02,05:21:02,W STANFORD AVE / S WADSWORTH BLVD,39.635118,-105.081795,4,423,vehicular,Party Advised,FALSE,FALSE,FALSE,NA
3612,2012-11-03,00:52:44,S WADSWORTH BLVD / W STANFORD AVE,39.635118,-105.081795,4,423,vehicular,T - Citation Issued,FALSE,TRUE,FALSE,citation
3752,2012-11-18,22:57:08,S UTICA ST / W QUINCY AVE,39.638639,-105.045304,4,423,vehicular,Warning Issued,FALSE,FALSE,TRUE,warning
3777,2012-11-01,20:24:45,W QUINCY AVE / S PIERCE ST,39.638743,-105.072255,4,423,vehicular,Warning Issued,FALSE,FALSE,TRUE,warning
3875,2012-11-03,22:47:11,E QUINCY AVE / E EASTMOOR DR,39.638663,-104.904008,3,324,vehicular,Warning Issued,FALSE,FALSE,TRUE,warning
3901,2012-11-29,14:25:48,S PIERCE WAY / W PRINCETON AVE,39.639907,-105.076546,4,423,vehicular,Warning Issued,FALSE,FALSE,TRUE,warning
3966,2012-11-13,14:51:42,S Wadsworth Blvd / Mansfield Pkwy,39.645872,-105.081574,None,None,pedestrian,Party Advised,FALSE,FALSE,FALSE,NA
4329,2012-11-07,22:46:40,7700 W QUINCY AVE,39.638746,-105.082258,None,None,pedestrian,Party Advised,FALSE,FALSE,FALSE,NA
4336,2012-11-01,00:42:48,7700 W QUINCY AVE,39.638746,-105.082258,None,None,pedestrian,Party Advised,FALSE,FALSE,FALSE,NA
4344,2012-11-15,22:54:45,7700 W QUINCY AVE,39.638746,-105.082258,None,None,pedestrian,Party Advised,FALSE,FALSE,FALSE,NA
4351,2012-11-08,22:40:50,7700 W QUINCY AVE,39.638746,-105.082258,None,None,pedestrian,Party Advised,FALSE,FALSE,FALSE,NA
4357,2012-11-14,05:29:43,7700 W QUINCY AVE,39.638746,-105.082258,None,None,pedestrian,Party Advised,FALSE,FALSE,FALSE,NA
4365,2012-11-27,04:37:47,7700 W QUINCY AVE,39.638746,-105.082258,None,None,pedestrian,Party Advised,FALSE,FALSE,FALSE,NA
4439,2012-11-25,22:41:39,I25 SB / I225 NB,39.63553,-104.908458,3,324,vehicular,Arrest Made,TRUE,FALSE,FALSE,arrest
4474,2012-11-09,01:13:05,5800 W MANSFIELD AVE,39.643897,-105.060372,4,423,pedestrian,K - Street Check Completed,FALSE,FALSE,FALSE,NA
4528,2012-11-16,21:50:37,S ZENOBIA ST / W QUINCY AVE,39.639568,-105.051943,4,423,vehicular,Warning Issued,FALSE,FALSE,TRUE,warning
4854,2012-11-26,14:06:31,3950 S HOLLY ST,39.645998,-104.922649,3,324,pedestrian,In Service,FALSE,FALSE,FALSE,NA
4905,2012-11-06,21:56:53,S WOLFF ST / W RADCLIFF AVE,39.638127,-105.049358,4,423,vehicular,Party Advised,FALSE,FALSE,FALSE,NA
5085,2012-11-28,14:30:23,S SHERIDAN BLVD / W HAMPDEN AVE,39.653184,-105.053092,4,423,pedestrian,Party Advised,FALSE,FALSE,FALSE,NA
5094,2012-11-14,06:11:59,W HAMPDEN AVE / S SHERIDAN BLVD,39.653184,-105.053092,4,423,pedestrian,Party Advised,FALSE,FALSE,FALSE,NA
5102,2012-11-05,22:37:48,W HAMPDEN AVE / S SHERIDAN BLVD,39.653184,-105.053092,4,423,vehicular,"K - Street Check Completed,L -",FALSE,FALSE,FALSE,NA
5110,2012-11-16,01:16:37,W HAMPDEN AVE / S SHERIDAN BLVD,39.653184,-105.053092,4,423,vehicular,Party Advised,FALSE,FALSE,FALSE,NA
5119,2012-11-06,12:19:28,S SHERIDAN BLVD / W HAMPDEN AVE,39.653184,-105.053092,4,423,vehicular,Party Advised,FALSE,FALSE,FALSE,NA
5162,2012-11-13,00:44:19,W Hampden Ave / S Pierce St,39.653262,-105.071895,None,None,vehicular,L - Clearance,FALSE,FALSE,FALSE,NA
5266,2012-11-12,21:46:34,S SHERIDAN BLVD / W HAMPDEN AVE,39.653184,-105.053092,4,423,vehicular,In Service,FALSE,FALSE,FALSE,NA
5542,2012-11-21,22:56:29,W QUINCY AVE / S BALSAM ST,39.638704,-105.088969,None,None,vehicular,K - Street Check Completed,FALSE,FALSE,FALSE,NA
5550,2012-11-06,00:04:39,W QUINCY AVE / S Zephyr St,39.638694,-105.084414,4,423,vehicular,K - Street Check Completed,FALSE,FALSE,FALSE,NA
5744,2012-11-13,22:47:17,3663 S SHERIDAN BLVD,39.650993,-105.053083,4,423,vehicular,Party Advised,FALSE,FALSE,FALSE,NA
5948,2012-11-06,00:19:33,5800 W HAMPDEN AVE,39.653342,-105.059714,4,423,vehicular,Back Up / Cover Car,FALSE,FALSE,FALSE,NA
5967,2012-11-07,21:58:25,W HAMPDEN S FRTG / S KENDALL ST,39.652982,-105.066697,4,423,vehicular,Party Advised,FALSE,FALSE,FALSE,NA
5977,2012-11-28,21:45:33,W HAMPDEN S FRTG / S KENDALL ST,39.652982,-105.066697,4,423,vehicular,Arrest Made,TRUE,FALSE,FALSE,arrest
6262,2012-11-28,14:19:43,S SHERIDAN BLVD / W HAMPDEN S FRTG,39.651788,-105.053087,4,423,pedestrian,Party Advised,FALSE,FALSE,FALSE,NA
6335,2012-11-16,00:54:19,W Hampden Ave / S Upham St,39.653216,-105.077663,None,None,vehicular,Party Advised,FALSE,FALSE,FALSE,NA
6341,2012-11-27,00:48:07,5800 W HAMPDEN AVE,39.653154,-105.060193,4,423,vehicular,T - Citation Issued,FALSE,TRUE,FALSE,citation
6345,2012-11-24,22:59:32,W HAMPDEN AVE / S SHERIDAN BLVD,39.653184,-105.053092,4,423,vehicular,Warning Issued,FALSE,FALSE,TRUE,warning
6358,2012-11-01,01:11:23,3663 S SHERIDAN BLVD,39.650993,-105.053083,4,423,vehicular,In Service,FALSE,FALSE,FALSE,NA
6370,2012-11-07,22:19:13,3663 S SHERIDAN BLVD,39.650993,-105.053083,4,423,vehicular,L - Clearance,FALSE,FALSE,FALSE,NA
6385,2012-11-19,00:31:44,S SHERIDAN BLVD / W HAMPDEN AVE,39.653184,-105.053092,4,423,vehicular,Party Advised,FALSE,FALSE,FALSE,NA
6475,2012-11-06,05:39:25,W HAMPDEN AVE / S SHERIDAN BLVD,39.653184,-105.053092,4,423,pedestrian,L - Clearance,FALSE,FALSE,FALSE,NA
6484,2012-11-08,05:53:26,W HAMPDEN AVE / S SHERIDAN BLVD,39.653184,-105.053092,4,423,pedestrian,Party Advised,FALSE,FALSE,FALSE,NA
6522,2012-11-07,23:33:03,W HAMPDEN AVE / S SHERIDAN BLVD,39.653184,-105.053092,4,423,vehicular,T - Citation Issued,FALSE,TRUE,FALSE,citation
6554,2012-11-24,11:02:40,S Irving St / W Hampden Ave,39.653259,-105.029822,None,None,vehicular,Warning Issued,FALSE,FALSE,TRUE,warning
6601,2012-11-28,00:13:45,5995 W HAMPDEN N FRTG,39.653479,-105.062593,4,423,vehicular,Party Advised,FALSE,FALSE,FALSE,NA
7007,2012-11-13,21:40:47,3633 S SHERIDAN BLVD,39.651392,-105.05314,4,423,pedestrian,Arrest Made,TRUE,FALSE,FALSE,arrest
7010,2012-11-13,21:38:06,3633 S SHERIDAN BLVD,39.651392,-105.05314,4,423,pedestrian,No Police Needed,FALSE,FALSE,FALSE,NA
7029,2012-11-13,01:01:43,3550 S HARLAN ST,39.652009,-105.062583,None,None,vehicular,Party Advised,FALSE,FALSE,FALSE,NA
7127,2012-11-08,22:19:56,W HAMPDEN AVE / S SHERIDAN BLVD,39.653184,-105.053092,4,423,vehicular,K - Street Check Completed,FALSE,FALSE,FALSE,NA
7166,2012-11-26,20:38:15,W Hampden Ave / S Pierce St,39.653262,-105.071895,None,None,vehicular,"K - Street Check Completed,T -",FALSE,FALSE,FALSE,NA
7217,2012-11-21,22:28:44,S SHERIDAN BLVD / W LEHIGH AVE,39.647512,-105.053009,4,423,vehicular,Warning Issued,FALSE,FALSE,TRUE,warning
7658,2012-11-15,03:53:17,E HAMPDEN AVE / S LOCUST ST,39.653088,-104.915347,3,323,vehicular,K - Street Check Completed,FALSE,FALSE,FALSE,NA
7663,2012-11-20,22:33:28,E HAMPDEN AVE / S LOCUST ST,39.653088,-104.915347,3,323,vehicular,Warning Issued,FALSE,FALSE,TRUE,warning
7863,2012-11-05,23:15:23,E HAMPDEN AVE / S CLERMONT ST,39.653038,-104.935138,None,None,vehicular,Warning Issued,FALSE,FALSE,TRUE,warning
7924,2012-11-27,10:15:53,3551 S RALEIGH ST,39.653632,-105.043062,4,423,pedestrian,Party Advised,FALSE,FALSE,FALSE,NA
8048,2012-11-24,14:11:56,3551 S RALEIGH ST,39.653632,-105.043062,4,423,pedestrian,Detox Van,FALSE,FALSE,FALSE,NA
8139,2012-11-17,15:18:49,I25 NB / E HAMPDEN AVE,39.653081,-104.918256,3,323,pedestrian,Warning Issued,FALSE,FALSE,TRUE,warning
8439,2012-11-16,02:54:46,3481 S FENTON ST,39.653769,-105.059821,4,423,pedestrian,K - Street Check Completed,FALSE,FALSE,FALSE,NA
8496,2012-11-29,22:42:09,E HAMPDEN AVE / S POPLAR ST,39.653115,-104.904726,3,323,vehicular,Arrest Made,TRUE,FALSE,FALSE,arrest
8603,2012-11-28,11:41:07,I25 NB / E HAMPDEN AVE,39.653081,-104.918256,3,323,vehicular,T - Citation Issued,FALSE,TRUE,FALSE,citation
8757,2012-11-03,08:35:28,E HAMPDEN AVE / I25 NB,39.653081,-104.918256,3,323,pedestrian,Arrest Made,TRUE,FALSE,FALSE,arrest
8842,2012-11-04,22:29:02,E HAMPDEN AVE / S MONACO ST,39.653091,-104.91293,3,323,vehicular,Warning Issued,FALSE,FALSE,TRUE,warning
8887,2012-11-04,03:25:57,E HAMPDEN AVE / S LOCUST ST,39.653088,-104.915347,3,323,pedestrian,Party Advised,FALSE,FALSE,FALSE,NA
9063,2012-11-19,23:39:49,3500 S SHERIDAN BLVD,39.653751,-105.05319,4,423,vehicular,Arrest Made,TRUE,FALSE,FALSE,arrest
9177,2012-11-15,02:51:59,E HAMPDEN AVE / S FOREST ST,39.653049,-104.927195,3,314,vehicular,T - Citation Issued,FALSE,TRUE,FALSE,citation
9190,2012-11-11,12:39:34,E HAMPDEN AVE / S GRAPE ST,39.653053,-104.925197,3,314,vehicular,Warning Issued,FALSE,FALSE,TRUE,warning
9196,2012-11-04,02:02:45,E HAMPDEN AVE / S GRAPE ST,39.653053,-104.925197,3,314,pedestrian,Report Made,FALSE,FALSE,FALSE,NA
9351,2012-11-30,06:44:39,E HAMPDEN AVE / I25 NB,39.653081,-104.918256,3,323,vehicular,T - Citation Issued,FALSE,TRUE,FALSE,citation
9542,2012-11-15,07:14:41,E HAMPDEN AVE / S LOCUST ST,39.653088,-104.915347,3,323,vehicular,T - Citation Issued,FALSE,TRUE,FALSE,citation
9626,2012-11-25,20:54:00,E HAMPDEN AVE / S MONACO ST,39.653091,-104.91293,3,323,vehicular,Warning Issued,FALSE,FALSE,TRUE,warning
9825,2012-11-16,16:43:13,S HUDSON WAY / E HAMPDEN AVE,39.653059,-104.924205,3,314,vehicular,Arrest Made,TRUE,FALSE,FALSE,arrest
9865,2012-11-08,03:07:38,3500 S RALEIGH ST,39.654123,-105.041341,4,423,pedestrian,Party Advised,FALSE,FALSE,FALSE,NA
9866,2012-11-16,23:40:44,3500 S RALEIGH ST,39.654123,-105.041341,4,423,pedestrian,L - Clearance,FALSE,FALSE,FALSE,NA
10204,2012-11-16,23:02:02,3500-BLK S MONACO ST,39.653091,-104.91293,3,323,vehicular,Warning Issued,FALSE,FALSE,TRUE,warning
10243,2012-11-05,00:23:45,S ZENOBIA ST / W DARTMOUTH AVE,39.656729,-105.049663,4,423,vehicular,Back Up / Cover Car,FALSE,FALSE,FALSE,NA
10333,2012-11-08,01:05:31,S SHERIDAN BLVD / W COLGATE DR,39.657173,-105.053221,4,423,vehicular,Warning Issued,FALSE,FALSE,TRUE,warning
10334,2012-11-08,01:05:31,S SHERIDAN BLVD / W COLGATE DR,39.657173,-105.053221,4,423,vehicular,Warning Issued,FALSE,FALSE,TRUE,warning
10406,2012-11-24,01:43:58,7400 E HAMPDEN AVE,39.653118,-104.903237,3,323,pedestrian,Back Up / Cover Car,FALSE,FALSE,FALSE,NA
10613,2012-11-15,23:31:58,5600 W DARTMOUTH AVE,39.655811,-105.056211,4,423,pedestrian,Party Advised,FALSE,FALSE,FALSE,NA
10680,2012-11-18,19:35:19,3100 S SHERIDAN BLVD,39.656165,-105.053216,4,423,pedestrian,In Service,FALSE,FALSE,FALSE,NA
10683,2012-11-30,23:29:46,S SHERIDAN BLVD / W DARTMOUTH AVE,39.656165,-105.053216,4,423,vehicular,In Service,FALSE,FALSE,FALSE,NA
10741,2012-11-14,23:18:54,3100 S SHERIDAN BLVD,39.656165,-105.053216,4,423,pedestrian,Party Advised,FALSE,FALSE,FALSE,NA
10760,2012-11-04,19:09:29,3100 S SHERIDAN BLVD,39.656165,-105.053216,4,423,pedestrian,K - Street Check Completed,FALSE,FALSE,FALSE,NA
